female,lgbtq,age,religiosity,income,college,blm_familiarity,linked_fate,Z,blm_support
0,0,0.20000000298023224,0,0.1818181872367859,0,3,1,feminism,0.75
0,0,0.17142857611179352,1,0.6363636255264282,1,4,1,intersectional,0
1,0,0.27142858505249023,0,0.3636363744735718,0,3,0.75,feminism,1
1,0,0,0.800000011920929,0,0,1,0.5,feminism,1
1,0,0.08571428805589676,0,0.09090909361839294,0,3,1,general,0.75
1,0,0.6000000238418579,0,0.4545454680919647,0,2,0.75,general,0.5
0,0,0.0714285746216774,0.800000011920929,0.1818181872367859,0,4,1,nationalism,0.75
1,0,0.7285714149475098,1,0.1818181872367859,1,3,1,general,1
1,0,0.12857143580913544,0,0,0,4,0.5,intersectional,0.5
0,0,0.30000001192092896,0,0.3636363744735718,0,3,1,feminism,0.75
1,0,0.3285714387893677,0,0,0,3,1,general,1
1,0,0.11428571492433548,0.4000000059604645,1,0,3,0.75,feminism,0.75
1,0,0.04285714402794838,0,0,0,4,1,intersectional,1
1,0,0.12857143580913544,0.800000011920929,0,0,3,1,intersectional,1
1,1,0.014285714365541935,0.4000000059604645,0,0,3,1,intersectional,0.75
0,0,0.8142856955528259,1,0.5454545617103577,0,3,0.75,nationalism,0.75
1,0,0.3285714387893677,0.800000011920929,0.1818181872367859,0,3,0.75,general,1
0,0,0.0714285746216774,1,1,1,3,1,intersectional,1
0,0,0.20000000298023224,1,0.8181818127632141,1,4,1,intersectional,0.5
1,1,0.04285714402794838,0,0,0,3,0.25,nationalism,0.5
0,0,0.5714285969734192,0,0,0,3,0,general,0.5
0,0,0.2857142984867096,0,0.09090909361839294,0,3,1,intersectional,0
1,0,0.10000000149011612,0,0.1818181872367859,0,4,0.75,feminism,1
0,0,0.2571428716182709,0,0.5454545617103577,0,2,0.75,feminism,0.5
1,0,0.014285714365541935,0.20000000298023224,0.3636363744735718,1,4,1,general,1
1,0,0.2857142984867096,0.4000000059604645,0.27272728085517883,1,4,1,nationalism,0.75
0,0,0.15714286267757416,0.800000011920929,0.4545454680919647,1,4,1,nationalism,1
1,0,0.7428571581840515,0.20000000298023224,0.27272728085517883,0,3,0.5,feminism,1
1,0,0.4000000059604645,0.4000000059604645,0.7272727489471436,0,3,0.75,general,0.75
