"ID","X","Y_Z_0","Y_Z_1"
"00001",0,1,1
"00002",0,0,1
"00003",0,1,1
"00004",0,0,1
"00005",0,1,1
"00006",1,0,0
"00007",0,0,0
"00008",0,0,1
"00009",0,1,1
"00010",0,1,1
"00011",0,1,1
"00012",1,1,0
"00013",0,0,1
"00014",0,1,1
"00015",0,0,1
"00016",0,1,1
"00017",0,0,1
"00018",0,1,0
"00019",1,0,0
"00020",0,1,0
"00021",0,1,0
"00022",0,1,1
"00023",0,0,0
"00024",0,0,0
"00025",0,1,0
"00026",0,0,0
"00027",0,1,1
"00028",0,1,0
"00029",0,0,1
"00030",0,1,1
"00031",0,0,1
"00032",0,0,1
"00033",0,0,1
"00034",1,0,1
"00035",0,0,1
"00036",0,1,1
"00037",0,1,0
"00038",0,1,1
"00039",1,0,0
"00040",0,1,1
"00041",0,1,1
"00042",0,1,0
"00043",0,1,1
"00044",0,1,1
"00045",0,1,1
"00046",0,1,1
"00047",0,1,0
"00048",0,1,0
"00049",0,1,1
"00050",1,1,0
"00051",0,0,0
"00052",0,1,1
"00053",1,0,0
"00054",0,1,1
"00055",0,0,0
"00056",1,0,0
"00057",0,0,1
"00058",0,0,1
"00059",0,1,1
"00060",0,1,0
"00061",0,0,1
"00062",0,0,1
"00063",0,0,1
"00064",1,0,0
"00065",0,1,0
"00066",0,1,1
"00067",0,1,1
"00068",0,1,1
"00069",0,1,1
"00070",0,0,1
"00071",0,0,1
"00072",0,0,1
"00073",1,0,0
"00074",0,1,1
"00075",0,1,0
"00076",0,0,1
"00077",0,1,1
"00078",1,1,1
"00079",0,0,1
"00080",0,0,1
"00081",0,1,0
"00082",0,1,1
"00083",0,1,0
"00084",0,1,1
"00085",0,0,0
"00086",0,1,1
"00087",0,1,1
"00088",0,1,1
"00089",0,1,1
"00090",0,1,1
"00091",0,0,1
"00092",0,1,1
"00093",0,1,1
"00094",0,1,1
"00095",0,1,1
"00096",1,0,0
"00097",0,1,1
"00098",1,1,0
"00099",1,0,0
"00100",1,0,0
"00101",0,1,1
"00102",1,1,0
"00103",1,1,0
"00104",0,0,1
"00105",0,1,1
"00106",0,0,1
"00107",0,1,1
"00108",0,0,1
"00109",0,0,1
"00110",0,1,1
"00111",1,0,0
"00112",1,0,0
"00113",0,1,1
"00114",0,0,1
"00115",0,0,1
"00116",0,1,1
"00117",0,1,1
"00118",1,0,1
"00119",0,1,0
"00120",1,1,0
"00121",0,1,1
"00122",0,0,0
"00123",0,1,1
"00124",0,1,1
"00125",0,0,1
"00126",0,0,1
"00127",0,1,1
"00128",1,1,1
"00129",0,1,1
"00130",0,0,1
"00131",0,1,1
"00132",0,0,0
"00133",0,1,0
"00134",0,1,1
"00135",1,0,0
"00136",0,1,1
"00137",0,1,1
"00138",0,1,1
"00139",0,1,1
"00140",0,1,1
"00141",1,0,0
"00142",0,0,0
"00143",0,1,1
"00144",0,0,1
"00145",0,1,0
"00146",0,0,1
"00147",0,1,1
"00148",0,1,1
"00149",0,1,1
"00150",0,0,0
"00151",0,1,1
"00152",0,1,0
"00153",0,0,1
"00154",0,0,1
"00155",0,1,1
"00156",0,1,1
"00157",0,0,0
"00158",0,1,1
"00159",0,1,1
"00160",0,1,1
"00161",0,0,1
"00162",0,0,1
"00163",0,1,1
"00164",0,1,1
"00165",0,1,0
"00166",0,1,1
"00167",0,1,1
"00168",0,1,1
"00169",0,0,0
"00170",0,1,1
"00171",0,0,0
"00172",0,0,1
"00173",1,0,1
"00174",1,1,0
"00175",0,1,1
"00176",1,1,0
"00177",0,0,0
"00178",0,1,1
"00179",0,1,1
"00180",0,1,1
"00181",0,1,1
"00182",0,1,1
"00183",0,1,1
"00184",1,0,1
"00185",0,0,0
"00186",1,0,0
"00187",0,1,1
"00188",0,1,1
"00189",0,1,1
"00190",1,1,0
"00191",1,0,0
"00192",0,1,1
"00193",0,1,1
"00194",0,1,1
"00195",0,1,1
"00196",0,0,1
"00197",0,1,1
"00198",0,1,1
"00199",1,0,1
"00200",1,1,0
"00201",0,0,1
"00202",0,1,1
"00203",0,1,1
"00204",0,1,1
"00205",0,1,0
"00206",0,1,1
"00207",0,1,0
"00208",0,1,0
"00209",1,1,1
"00210",0,1,1
"00211",1,0,0
"00212",0,1,1
"00213",0,1,1
"00214",0,1,1
"00215",1,0,0
"00216",0,1,1
"00217",0,0,0
"00218",1,1,0
"00219",0,0,1
"00220",0,1,1
"00221",0,1,1
"00222",1,0,1
"00223",0,1,1
"00224",0,1,1
"00225",0,1,1
"00226",0,0,1
"00227",0,1,1
"00228",0,1,0
"00229",1,1,0
"00230",0,1,1
"00231",0,1,1
"00232",0,0,0
"00233",0,0,1
"00234",0,1,1
"00235",0,1,1
"00236",0,1,1
"00237",1,1,1
"00238",0,0,0
"00239",0,0,0
"00240",0,1,1
"00241",0,0,1
"00242",1,0,0
"00243",0,1,1
"00244",0,1,1
"00245",1,0,0
"00246",1,0,0
"00247",0,0,1
"00248",0,1,0
"00249",1,0,0
"00250",0,1,1
"00251",0,1,1
"00252",0,1,1
"00253",0,1,0
"00254",1,1,0
"00255",0,0,1
"00256",1,0,1
"00257",0,1,0
"00258",0,1,1
"00259",0,0,0
"00260",0,1,1
"00261",0,1,1
"00262",0,1,0
"00263",0,1,1
"00264",0,1,1
"00265",1,0,0
"00266",0,1,1
"00267",0,1,0
"00268",1,0,0
"00269",0,1,1
"00270",0,1,1
"00271",0,1,1
"00272",0,0,0
"00273",1,0,0
"00274",1,1,1
