marked_register_2014,ward,street,treat,weights
1,F,7b433f3ecb907776101c03863164944a,1,1.195583596214511
1,F,7b433f3ecb907776101c03863164944a,1,1.195583596214511
0,I,a3e870d6772c53014e6e849644b14726,1,1.2751031636863823
0,I,a3e870d6772c53014e6e849644b14726,1,1.2751031636863823
1,D,ad153ec06f055981074aa4302ffbd6f4,1,1.3621683967704727
1,D,ad153ec06f055981074aa4302ffbd6f4,1,1.3621683967704727
1,A,1153ec7aa006db9d343dba9f13bff907,1,1.5385934819897085
1,A,1153ec7aa006db9d343dba9f13bff907,1,1.5385934819897085
0,A,ed142ca7806c53cf5df0e0ad6734ffdc,1,1.5385934819897085
1,E,54192a65bfefe75b30dc45555c46c97d,1,1.28125
1,E,54192a65bfefe75b30dc45555c46c97d,1,1.28125
0,B,643c70d58a3f5127a09d9e2ff15f97bd,0,3.6119402985074633
0,B,643c70d58a3f5127a09d9e2ff15f97bd,0,3.6119402985074633
0,C,495f3b705cf3e2e9e897b1e6c787e87c,1,1.4331065759637187
0,C,495f3b705cf3e2e9e897b1e6c787e87c,1,1.4331065759637187
0,G,8de4d6ae7a1a4e0ccde5c0cbe93441f0,1,1.2855464159811987
1,G,b90c7805fd9cd6f4e041a128cdf1c6ec,1,1.2855464159811987
0,A,3ed1e709b6af1501711eaad629e88fe4,1,1.5385934819897085
0,A,3ed1e709b6af1501711eaad629e88fe4,1,1.5385934819897085
0,A,3ed1e709b6af1501711eaad629e88fe4,1,1.5385934819897085
0,D,ef21f07c081f372b861c2c9d593fb332,1,1.3621683967704727
0,D,ef21f07c081f372b861c2c9d593fb332,1,1.3621683967704727
0,D,ef21f07c081f372b861c2c9d593fb332,1,1.3621683967704727
0,D,ef21f07c081f372b861c2c9d593fb332,1,1.3621683967704727
0,G,6758f7db667bc0b5d50f2dd341384451,1,1.2855464159811987
0,G,6758f7db667bc0b5d50f2dd341384451,1,1.2855464159811987
0,C,fe306d5d8910032c89bd6756d20fa32c,0,3.30890052356021
1,G,c8065c8f06e0f2bfcedefc9faa34647f,1,1.2855464159811987
1,G,c8065c8f06e0f2bfcedefc9faa34647f,1,1.2855464159811987
1,B,70f0e3c79296f8a69db30145446eee9c,0,3.6119402985074633
0,I,e4aca95a95446c5502494e8d665d71f8,1,1.2751031636863823
0,I,e4aca95a95446c5502494e8d665d71f8,1,1.2751031636863823
1,G,265d47557a64017cde4a6217184ae5b4,1,1.2855464159811987
1,A,bc4a2d561b420a384ff9c0e90bd95346,1,1.5385934819897085
1,G,08da7cbf4f6ff692fe4701ff4a889820,1,1.2855464159811987
0,E,824d61feaf30ca85fbc73d05ee069969,1,1.28125
0,E,824d61feaf30ca85fbc73d05ee069969,1,1.28125
0,G,d8ce72e1fbe83ffa62440250ee3f22d2,1,1.2855464159811987
1,G,d8ce72e1fbe83ffa62440250ee3f22d2,1,1.2855464159811987
0,G,d8ce72e1fbe83ffa62440250ee3f22d2,1,1.2855464159811987
