party,age,census_tract,voted_2012
REP,37,408141,1
NPP,65,190520,1
DEM,31,311500,1
DEM,66,433601,1
DEM,61,703200,0
DEM,63,603703,0
DS,56,920015,0
DEM,79,237402,0
DEM,60,400402,1
DEM,73,192620,0
DEM,23,264000,0
DEM,58,269000,1
DEM,70,433700,0
DEM,24,134901,0
DEM,39,218702,1
DEM,80,293307,1
NPP,18,134901,0
DEM,40,920043,0
DEM,61,211701,1
DEM,22,600304,1
DS,51,186203,1
NPP,60,143300,1
DEM,35,432300,0
DEM,47,570402,0
DEM,24,201401,1
DEM,38,191720,0
DEM,50,407802,1
DEM,59,402705,1
DEM,47,553200,0
DS,39,217001,1
DEM,86,554519,0
AI,48,621104,0
DEM,23,431200,1
NPP,21,404801,0
DEM,77,267901,0
DEM,64,575002,1
DEM,53,572100,1
DEM,63,600502,0
DEM,42,273100,1
NPP,22,555104,0
NPP,21,551000,0
DEM,27,570601,0
DEM,58,218702,0
REP,62,651304,1
DEM,31,187102,0
REP,22,910206,0
DS,54,133100,1
NPP,28,115202,1
DEM,35,115302,1
REP,38,602600,1
DEM,45,502801,1
NPP,31,575402,1
REP,44,296902,0
NPP,64,533104,1
DEM,72,500600,0
REP,49,650401,1
DEM,37,553100,1
REP,42,265202,1
REP,78,603704,0
NPP,51,265510,1
DEM,59,239202,1
DEM,40,404802,1
DEM,88,402803,1
DEM,29,651302,1
REP,82,920326,1
REP,76,267600,0
DEM,41,571502,0
DS,34,197410,1
DEM,34,239501,1
DEM,28,402303,1
REP,20,553000,0
REP,60,620001,0
DEM,77,603102,1
DS,31,262100,0
PF,27,402706,0
NPP,30,211000,1
DEM,40,406702,1
DEM,54,139802,0
DS,67,401203,1
DEM,40,703100,1
REP,51,401303,0
DS,55,103400,1
REP,54,620701,1
DEM,58,125502,0
DS,70,261102,1
DEM,76,554518,0
REP,87,218400,1
REP,93,462500,0
DEM,30,502801,1
REP,24,463200,1
DEM,67,109800,0
DEM,92,214000,1
DEM,67,128702,1
DEM,50,430501,0
PF,38,137104,1
DEM,60,137104,0
DS,52,293306,1
DEM,23,269904,0
REP,56,503302,1
NPP,32,701202,0
PF,49,401311,1
DEM,53,211500,0
