ID,municipality,trust_police,govt_responsive,ideology,govt_pride,self_efficacy_political,trust_military,trust_supreme_court,support_political_system
respondent_1,municipality_063,3,2,6,4,4,1,1,2
respondent_2,municipality_096,3,3,8,6,4,1,6,2
respondent_3,municipality_095,1,1,10,1,2,3,4,1
respondent_4,municipality_055,2,1,4,2,4,4,2,2
respondent_5,municipality_081,7,6,10,2,4,1,6,6
respondent_6,municipality_077,3,2,5,2,4,5,2,3
respondent_7,municipality_024,1,7,6,1,4,7,5,4
respondent_8,municipality_026,5,3,3,3,4,4,3,4
respondent_9,municipality_086,4,5,6,2,1,7,7,5
respondent_10,municipality_050,3,4,8,4,3,6,5,5
respondent_11,municipality_061,7,2,1,3,1,6,1,7
respondent_12,municipality_034,5,4,10,2,3,7,1,6
respondent_13,municipality_036,1,5,10,7,4,5,6,1
respondent_14,municipality_090,6,1,8,1,3,5,3,1
respondent_15,municipality_095,3,4,4,3,4,6,5,3
respondent_16,municipality_059,4,4,7,7,3,6,5,6
respondent_17,municipality_009,5,4,1,2,4,3,2,1
respondent_18,municipality_001,5,5,5,5,1,4,5,5
respondent_19,municipality_033,1,1,7,1,3,4,5,4
respondent_20,municipality_080,7,1,1,1,3,7,3,1
respondent_21,municipality_092,3,4,3,5,4,4,4,5
respondent_22,municipality_103,4,7,2,3,4,2,2,4
respondent_23,municipality_038,4,7,5,1,4,4,3,2
respondent_24,municipality_089,4,2,1,2,3,2,2,3
respondent_25,municipality_009,7,6,9,3,3,6,5,2
respondent_26,municipality_094,1,4,1,1,3,3,1,1
respondent_27,municipality_075,5,4,8,3,4,7,7,7
respondent_28,municipality_085,7,6,8,3,3,7,1,7
respondent_29,municipality_103,5,5,6,2,3,6,6,6
respondent_30,municipality_101,1,1,5,1,4,3,4,1
respondent_31,municipality_010,7,5,8,6,3,7,7,6
respondent_32,municipality_063,7,3,5,7,3,7,5,7
respondent_33,municipality_031,1,1,6,2,1,7,3,7
respondent_34,municipality_025,6,2,3,2,3,5,2,1
respondent_35,municipality_063,6,5,10,7,3,7,6,7
respondent_36,municipality_060,7,1,10,7,4,7,7,7
respondent_37,municipality_050,3,1,7,5,3,6,4,5
respondent_38,municipality_102,1,7,10,7,4,1,6,6
respondent_39,municipality_057,6,4,10,1,3,7,1,5
respondent_40,municipality_079,6,4,7,5,3,6,7,5
respondent_41,municipality_088,1,4,5,2,2,2,1,2
respondent_42,municipality_028,7,1,10,1,2,7,5,1
respondent_43,municipality_023,4,2,9,2,3,7,6,7
respondent_44,municipality_091,7,1,8,4,3,6,5,6
respondent_45,municipality_056,7,1,2,7,3,7,1,7
respondent_46,municipality_072,7,3,2,4,4,5,6,6
respondent_47,municipality_082,1,3,1,2,4,1,1,4
respondent_48,municipality_023,3,4,5,2,3,6,4,3
respondent_49,municipality_092,7,6,1,1,4,7,1,1
respondent_50,municipality_094,7,6,9,4,2,7,3,7
respondent_51,municipality_087,6,4,6,5,1,6,5,5
